Time	-Avg A
(us)	(mV)

-1.81240012	-31.47336000
-1.81200012	-31.35222000
-1.81160012	-31.50364000
-1.81120012	-31.29922000
-1.81080012	-31.43551000
-1.81040012	-31.41278000
-1.81000012	-31.39765000
-1.80960012	-31.36736000
-1.80920012	-31.39006000
-1.80880012	-31.41279000
-1.80840012	-31.51879000
-1.80800012	-31.39766000
-1.80760012	-31.45065000
-1.80720012	-31.32952000
-1.80680012	-31.43550000
-1.80640012	-31.39765000
-1.80600012	-31.51122000
-1.80560012	-31.31438000
-1.80520012	-31.47336000
-1.80480012	-31.40522000
-1.80440012	-31.45823000
-1.80400012	-31.39008000
-1.80360012	-31.44307000
-1.80320012	-31.37494000
-1.80280012	-31.48850000
-1.80240012	-31.35221000
-1.80200012	-31.45823000
-1.80160012	-31.34464000
-1.80120012	-31.48093000
-1.80080012	-31.36736000
-1.80040012	-31.47336000
-1.80000012	-31.49607000
-1.79960012	-31.42037000
-1.79920012	-31.36737000
-1.79880012	-31.48092000
-1.79840012	-31.42037000
-1.79800012	-31.41279000
-1.79760012	-31.50364000
-1.79720012	-31.39766000
-1.79680012	-31.35223000
-1.79640012	-31.39765000
-1.79600012	-31.35980000
-1.79560012	-31.40522000
-1.79520012	-31.42036000
-1.79480012	-31.43550000
-1.79440012	-31.48092000
-1.79400012	-31.47337000
-1.79360012	-31.44308000
-1.79320012	-31.39007000
-1.79280012	-31.42037000
-1.79240012	-31.48093000
-1.79200012	-31.44309000
-1.79160012	-31.43550000
-1.79120012	-31.35980000
-1.79080012	-31.48093000
-1.79040012	-31.30679000
-1.79000012	-31.45822000
-1.78960012	-31.30679000
-1.78920012	-31.42037000
-1.78880012	-31.39765000
-1.78840012	-31.43550000
-1.78800012	-31.32193000
-1.78760012	-31.44308000
-1.78720012	-31.31437000
-1.78680012	-31.42793000
-1.78640012	-31.40523000
-1.78600012	-31.43552000
-1.78560012	-31.35980000
-1.78520012	-31.52636000
-1.78480012	-31.35222000
-1.78440012	-31.33707000
-1.78400012	-31.36737000
-1.78360012	-31.37494000
-1.78320012	-31.39008000
-1.78280012	-31.45822000
-1.78240012	-31.42035000
-1.78200012	-31.43550000
-1.78160012	-31.41279000
-1.78120012	-31.38251000
-1.78080012	-31.38249000
-1.78040012	-31.45822000
-1.78000012	-31.29166000
-1.77960012	-31.48092000
-1.77920012	-31.42794000
-1.77880012	-31.48094000
-1.77840012	-31.42035000
-1.77800012	-31.46579000
-1.77760012	-31.35222000
-1.77720012	-31.45822000
-1.77680012	-31.35979000
-1.77640012	-31.35980000
-1.77600012	-31.24622000
-1.77560012	-31.36737000
-1.77520012	-31.40523000
-1.77480012	-31.36737000
-1.77440012	-31.29165000
-1.77400012	-31.42794000
-1.77360012	-31.32951000
-1.77320012	-31.42794000
-1.77280012	-31.35222000
-1.77240012	-31.39765000
-1.77200012	-31.35980000
-1.77160012	-31.42037000
-1.77120012	-31.33708000
-1.77080012	-31.48850000
-1.77040012	-31.42793000
-1.77000012	-31.40522000
-1.76960012	-31.32195000
-1.76920012	-31.39008000
-1.76880012	-31.31437000
-1.76840012	-31.48093000
-1.76800012	-31.34466000
-1.76760012	-31.45822000
-1.76720012	-31.36736000
-1.76680012	-31.45064000
-1.76640012	-31.28408000
-1.76600012	-31.38251000
-1.76560012	-31.30680000
-1.76520012	-31.33708000
-1.76480012	-31.39766000
-1.76440012	-31.48094000
-1.76400012	-31.31438000
-1.76360012	-31.45064000
-1.76320012	-31.29922000
-1.76280012	-31.43551000
-1.76240012	-31.37493000
-1.76200012	-31.38250000
-1.76160012	-31.43551000
-1.76120012	-31.38250000
-1.76080012	-31.35979000
-1.76040012	-31.45822000
-1.76000012	-31.38251000
-1.75960012	-31.40522000
-1.75920012	-31.36736000
-1.75880012	-31.39765000
-1.75840012	-31.33707000
-1.75800012	-31.43551000
-1.75760012	-31.34466000
-1.75720012	-31.37494000
-1.75680012	-31.41279000
-1.75640012	-31.38251000
-1.75600012	-31.40523000
-1.75560012	-31.39007000
-1.75520012	-31.40522000
-1.75480012	-31.46579000
-1.75440012	-31.39008000
-1.75400012	-31.32951000
-1.75360012	-31.32194000
-1.75320012	-31.43551000
-1.75280012	-31.35979000
-1.75240012	-31.36736000
-1.75200012	-31.37494000
-1.75160012	-31.45822000
-1.75120012	-31.43551000
-1.75080012	-31.39765000
-1.75040012	-31.22351000
-1.75000012	-31.37494000
-1.74960012	-31.37494000
-1.74920012	-31.45065000
-1.74880012	-31.27651000
-1.74840012	-31.41278000
-1.74800012	-31.38251000
-1.74760012	-31.30681000
-1.74720012	-31.26895000
-1.74680012	-31.45822000
-1.74640012	-31.39008000
-1.74600012	-31.41279000
-1.74560012	-31.32951000
-1.74520012	-31.42794000
-1.74480012	-31.29165000
-1.74440012	-31.35222000
-1.74400012	-31.33707000
-1.74360012	-31.42037000
-1.74320012	-31.39008000
-1.74280012	-31.38251000
-1.74240012	-31.32194000
-1.74200012	-31.40522000
-1.74160012	-31.40522000
-1.74120012	-31.32194000
-1.74080012	-31.36737000
-1.74040012	-31.43549000
-1.74000012	-31.29923000
-1.73960012	-31.37494000
-1.73920012	-31.32193000
-1.73880012	-31.35980000
-1.73840012	-31.37495000
-1.73800012	-31.42794000
-1.73760012	-31.31437000
-1.73720012	-31.44308000
-1.73680012	-31.38250000
-1.73640012	-31.43551000
-1.73600012	-31.32193000
-1.73560012	-31.39765000
-1.73520012	-31.29922000
-1.73480012	-31.42037000
-1.73440012	-31.28408000
-1.73400012	-31.44308000
-1.73360012	-31.32194000
-1.73320012	-31.45065000
-1.73280012	-31.32952000
-1.73240012	-31.39767000
-1.73200012	-31.40522000
-1.73160012	-31.36735000
-1.73120012	-31.38251000
-1.73080012	-31.40522000
-1.73040012	-31.42794000
-1.73000012	-31.45823000
-1.72960012	-31.36737000
-1.72920012	-31.43551000
